t_mono,changed,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11
479839.882078,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.887097,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.892221,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.897295,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.902215,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.907112,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.912121,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.917157,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.922026,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.927133,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.932053,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.937160,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.941988,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.946980,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.952059,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.957078,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.962124,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.967139,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.972112,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.977179,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.982235,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.987158,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.992104,0,0,0,0,0,0,0,0,0,0,0,0,0
479839.997238,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.002221,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.007055,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.012005,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.017149,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.022052,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.027194,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.032054,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.037125,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.041943,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.047127,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.052081,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.057047,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.062156,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.067231,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.072129,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.077091,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.082069,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.087053,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.092082,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.097180,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.102235,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.107118,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.112059,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.117063,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.122097,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.127199,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.132084,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.137064,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.141998,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.146991,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.152084,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.157100,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.162180,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.167071,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.171997,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.177031,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.182043,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.187018,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.192056,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.197268,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.202086,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.207083,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.212030,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.217071,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.222039,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.227138,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.231991,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.237081,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.241995,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.247088,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.252024,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.257019,0,0,0,0,0,0,0,0,0,0,0,0,0
479840.262053,0,0,0,0,0,0,0,0,0,0,0,0,0
