t_mono,changed,ch0,ch1,ch2,ch3,ch4,ch5,ch6
479839.436870,1,-0.717984,0.0150776,0.993461,-2.24299,0.519048,2.46051,0.651233
479839.441814,1,-0.717982,0.0150759,0.993459,-2.24299,0.519048,2.46051,0.651236
479839.446836,1,-0.71799,0.0150761,0.993459,-2.24299,0.519049,2.46051,0.651237
479839.451852,1,-0.717984,0.015076,0.993459,-2.24299,0.519045,2.46051,0.651235
479839.456841,1,-0.717985,0.0150793,0.993461,-2.24299,0.519049,2.46051,0.651237
479839.461820,1,-0.717985,0.0150739,0.993459,-2.24299,0.519049,2.46051,0.651236
479839.466815,1,-0.717988,0.0150759,0.993453,-2.24299,0.519049,2.46051,0.65123
479839.471894,1,-0.717986,0.0150776,0.993461,-2.24299,0.51905,2.46051,0.651233
479839.476843,1,-0.717984,0.0150795,0.993455,-2.24299,0.51905,2.4605,0.651231
479839.481792,1,-0.717988,0.0150776,0.993463,-2.24298,0.519045,2.46051,0.651237
479839.486849,1,-0.717984,0.015078,0.993459,-2.24299,0.519046,2.46051,0.651235
479839.491869,1,-0.717986,0.015078,0.993461,-2.24299,0.51905,2.46051,0.651233
479839.496865,1,-0.717985,0.0150797,0.993454,-2.24299,0.519046,2.4605,0.651232
479839.501902,1,-0.717984,0.015074,0.993457,-2.24299,0.519045,2.46051,0.651236
479839.506890,1,-0.717983,0.0150761,0.993455,-2.24299,0.519048,2.46051,0.651233
479839.511850,1,-0.717984,0.01508,0.993457,-2.24299,0.519049,2.46051,0.651234
479839.516816,1,-0.717988,0.0150803,0.993461,-2.24299,0.519048,2.46051,0.651227
479839.521865,1,-0.717988,0.015078,0.993459,-2.24299,0.519048,2.46051,0.651237
479839.530267,1,-0.717987,0.0150761,0.993457,-2.24299,0.519048,2.4605,0.651233
479839.531829,1,-0.717987,0.0150783,0.993457,-2.24299,0.519047,2.46051,0.651235
479839.536847,1,-0.717985,0.0150783,0.993459,-2.24299,0.519048,2.46051,0.651238
479839.541827,1,-0.717984,0.0150805,0.993457,-2.24299,0.519047,2.46051,0.65123
479839.546836,1,-0.717987,0.0150776,0.993455,-2.24299,0.519045,2.46051,0.651235
479839.551870,1,-0.717984,0.0150786,0.993461,-2.24299,0.519046,2.46051,0.651231
479839.559265,1,-0.717986,0.0150795,0.993458,-2.24299,0.51905,2.46051,0.651235
479839.561868,1,-0.717985,0.0150788,0.993455,-2.24299,0.519048,2.4605,0.651238
479839.566835,1,-0.717985,0.0150759,0.993453,-2.24299,0.519044,2.46051,0.651239
479839.574258,1,-0.717984,0.0150776,0.993453,-2.24299,0.519049,2.4605,0.651235
479839.576836,1,-0.717986,0.0150741,0.993461,-2.24299,0.519045,2.46051,0.651236
479839.581853,1,-0.717987,0.0150776,0.993459,-2.24299,0.519049,2.46051,0.651231
479839.586844,1,-0.717985,0.0150761,0.993457,-2.243,0.519049,2.46051,0.651232
479839.591876,1,-0.717986,0.01508,0.993457,-2.24299,0.519046,2.46051,0.651232
479839.596845,1,-0.717985,0.0150732,0.993457,-2.24299,0.519048,2.46051,0.651231
479839.601904,1,-0.717982,0.0150761,0.993461,-2.24299,0.51905,2.46051,0.651237
479839.606869,1,-0.717987,0.0150759,0.99346,-2.24299,0.519048,2.46051,0.651233
479839.611841,1,-0.71798,0.015076,0.99346,-2.24299,0.519047,2.46051,0.651236
479839.616853,1,-0.717985,0.0150776,0.993455,-2.24299,0.519046,2.46051,0.651233
479839.621877,1,-0.717985,0.0150777,0.993458,-2.24299,0.51905,2.46051,0.65123
479839.626816,1,-0.717985,0.0150785,0.993455,-2.24299,0.519048,2.46051,0.651233
